Block number, Reduced seignorage
10643305, 0
10842642, 0
11036288, 0
11231800, 0
11427205, 0
11622597, 0
11817799, 0
12012834, 0
12207711, 0
12402184, 4428.634875373837
12595908, 29206.35391891003
12788732, 32765.191299127746
12979995, 31031.771240210448
13174201, 31125.016967464657
13367434, 28364.305774795626
13558613, 21190.392833973405
13747983, 0
13940987, 0
14135067, 0
14328925, 0
14521523, 0
14712915, 0
14899057, 0
15071619, 0
15265110, 0
15454819, 0
15655543, 0
15870287, 0
16085047, 0
16299828, 0
16514721, 0
16728891, 0
16942292, 0
17153972, 0
17366875, 0
17580058, 0
17793790, 0
18008240, 0
18222190, 0
18436632, 0
18650949, 0
18864973, 0
18900569, 0
19121565, 0
19328268, 0
19548997, 0
19763207, 0
19984894, 0
20199587, 0
20421613, 0