Block number, Burned seignorage
14109200, 53134.73740267902
14290261, 987.0989409346763
14489547, 19382.25564496195
14681237, 690.4839076678838
14874554, 433.26946102882044
15046664, 1559.1469543691233
15245811, 2768.0693373353133
15442316, 719.7830959767899
15641242, 1226.1378607452607
15863125, 845.2050536264376
16077893, 1255.5230020902545
16299828, 2440.287478391705
16521888, 3532.9292433810897
16721768, 1814.6517380432517
16942292, 589.9558646424587
17153972, 102.48370816896184
17373975, 1418.2395208497596
17587194, 23.085863412282926
17808087, 829.8360833525518
18029651, 1620.6931835154498
18243613, 349.54798226832446
18465217, 24.275125135954603
18679510, 455.15933938680814
18900569, 0.03605648799588192
19121565, 4.795667799604816